,id,city,state_code,university_id,no_of_student_hostel,name,infrastructure_id,latitude,longitude,offers_scholarship
17512,36943,NAMAKKAL,33,439,1,Vivekanandha College of Technology for Women,181362,11.358696,77.944617,1
17513,17481,Mysore,29,235,0,"Maharshi First Grade College, Industrial  Extention,",181363,12.53562,68.72562,0
17514,43333,KOZHIKODE,32,251,7,"NATIONAL INSTITUTE OF ELIT, REC, KOZHIKKODE",181366,11.3152719,75.92711717,1
17519,30835,Panaji,30,121,1,Goa College of Art  Altinho  Panaji,181373,15.00001,73.00001,1
17520,40348,Bangalore,29,240,2,S B College of Nursing,181374,13.10464,77.57291999999998,0
17521,44784,Burdwan,19,569,2,Dr. Bhupendra Nath Dutta Smriti Mahavidyalaya,181376,23.25672,87.25672,1
17524,38306,Bharatpur,8,422,0,"MSJ College, Bharatpur",181381,27.220001,77.480001,1
17529,40450,Bangalore,29,240,2,Hina College of Nursing,181390,13.10464,77.57291999999998,0
17530,34177,kalyan,27,318,0,Seth Hirachand Mutha Shaikshanik Trust College of Arts Commerce & Science Koliwali  Kalyan West  Dist  Thane.,181392,19.267478,73.12895,1
17532,47336,KOTKAPURA,3,383,0,MALWA DEGREE COLLEGE FOR GIRLS KOTAK PURA,181395,12.564520000000002,70.452364,1
17534,37077,Tiruppur,33,439,2,Sri Ramanathan Engineering College,181397,11.30001,77.30001,1
17535,36958,Erode,33,439,4,Nandha Engineering College,181398,11.2965241,77.6194918,1
17536,38641,JAIPUR,8,422,1,"Geeta Bajaj Girls TT College, Jaipur",181399,26.892896,75.824343,1
17537,17988,Vizianagaram,28,15,1,"Avanthi's Research & Technological Academy, Basavapalem (V), Bhogapuram(M),  PIN-500034 (CC-HQ)",181401,17.96746,83.48045,1
17538,36213,Bhopal,23,287,2,"Bhabha Engineering Research Institute, Hoshangabad Road, Near Misrod, Bhopal-462026",181402,23.26999,77.61638999999998,0
17539,30533,Vijayawada,28,8,2,"Nagarjuna College of Nursing, Kanuru",181403,16.28601,81.25404,0
17540,13441,Bareilly,9,525,0,Shriji Institute of Legal And Vocational Education & Research,181404,28.36401,79.41500999999998,0
17541,1418,Bangalore,29,249,2,"Bangalore Technological Institute, BANGALORE",181405,12.05813,77.03837,1
17546,27465,mahabubabad,36,19,0,"Samaikya Degree College, H.No. 5-5-88, Kankara Boad, Mahabubabad",181416,17.61671,80.01671,1
17547,14650,Veppanthatti,33,483,0,Eden Gardens College of Education,181417,21.23654,78.38333,1
17548,49344,BELTHANGADY,29,233,0,"SRI GURUDEVA FIRST GRADE COLLEGE, BELTHANGADI",181418,23.25672,75.25627,0
17549,8753,Darbhanga,10,57,2,Darbhanga College of Engineering,181419,26.170001,85.900001,0
17550,14833,Thathanur,33,483,2,Minakshee Ramasami College of Education,181420,11.158152800000002,79.2757309,1
17551,14671,Rasipuram-TK,33,483,1,Kasthooribha Gandhi College of Education,181422,11.44001,74.15000999999998,1
17553,43314,CHALAKKUDY,32,251,2,"NAIPUNYA INSTITUTE OF MANAGEMENT AND INFORMATION TECHNOLOGY, KORATTY",181425,10.246221,76.373255,1
17555,7347,TQ KINWAT DIST NADED,27,328,0,"Laxmibai Markande Shrimanwar Arts & Science College, Mandvi",181428,19.628308,78.203237,1
17556,36982,KARUR,33,439,2,Karur College of Engineering,181429,10.580001,78.200001,1
17561,29244,Batala,3,371,1,"Royal Institute of Nursing,  Village Jaito Sarja, Tehsil  Batala, Distt. Gurdaspur- 143505",181441,31.74622294,75.19456254,1
17562,34681,GWALIOR,23,276,0,MADHAV MAHAVIDYALAYA,181444,26.22449,68.178711,1
17563,8816,Shindkheda,27,320,2,"250042-SSSVPS'S LATE S.D.PATIL ARTS,COM.&LATE M.D.SISODE SCI.COLLEGE SHINDKHEDA",181445,22.00001,78.00001,1
17565,28727,MEERUT,9,506,2,"B.L. ACADEMY OF HIGHER EDUCATION LAWAN,  MEERUT",181449,29.1213084,77.791656,1
17570,14612,TIRUNELVELI,33,483,2,Sri Ram Nallamani Yadava College of Education,181456,31.25684,89.257528,1
17573,51134,LUCKNOW,9,524,1,SARDAR BHAGAT SINGH COLLEGE OF HIGHER EDUCATION,181460,26.503177,80.500326,1
17574,49049,Harur,33,481,2,ANNAI COLLEGE OF NURSING (Inst.Code - 595),181461,12.022761,78.462741,0
17575,38405,DHODHSAR,8,422,0,"Ratan Devi College, Jaipur",181462,25.23562,72.56895,0
17577,10387,Batala,3,382,0,"VMS Institute of Management, Batala",181464,31.798147,75.159659,1
17578,27811,RENIGUNTA,28,37,0,"Dr. Kunchala Rajarathnam Christian  Degree College, Jeevagram, Renigunta Rural",181466,13.40001,79.20001,1
17579,27889,Pathankot,3,376,0,"Akarshan College of Education, Old Tara Garh Road, Dinanagar Gurdaspur.",181467,21.30001,75.42001,0
17580,36156,Indore,23,287,0,"Acropolis Institute of Pharmaceutical Education & Research, Khasra No. 283/3, Indore Bypass Road, Near manglya Square, Indore",181468,22.819068,75.942315,1
17581,21894,Garudabanj (Almora),5,562,0,"Govt. P G College, Garudabanj",181471,29.37192,79.50139199999998,1
17583,14657,Veppanthattai,33,483,0,Vidhya Vikas Plus The Institute of Education,181475,27.23561,77.24563,1
17584,36023,Gwalior,23,287,1,"NRI College of Engineering and Management,  Baraghata Jhansi Road, Gwalior",181476,26.18001,78.17001,1
17587,21913,Nanak Matta,5,562,1,"Shri Guru Nanak Pvt. Kanya P. G. College, Nanakmatta Sahib",181479,28.92354,79.70072,1
17588,50698,Pune,27,315,2,GRAMONNATI MANDALS COLLEGE OF AGRICULTURE BUSINESS MANAGEMENT,181480,19.162600199999996,73.91477109999998,1
17589,33588,Mumbai,27,318,0,Vidyalankar Institute of Technology Pearl Center Senapati Bapat Marg Dadar (West) Mumbai  400 028,181482,19.00001,72.00001,0
17590,43919,Kanchipuram,33,462,2,KANCHI SHRI KRISHNA COLLEGE OF ARTS AND SCIENCE,181486,12.820001,79.710001,1
17592,40354,Banglaore - 560 107,29,240,12,Acharya B M Reddy College of Pharmacy,181488,13.0913811,77.4897748,0
17594,14741,Namakkal,33,483,2,Annai Mathammal Sheela College of Education,181491,10.99765,77.85469,1
17596,35122,BHOPAL,23,269,0,"Bhabha Management Research Inst. NH 12 Hoshangabad Road Misrod Road, Bhopal",181493,23.27999,78.58333,0
17598,11962,Kolkata,19,570,0,Jogesh Chandra Chaudhuri Law College,181495,22.49732,88.33554999999998,1
