,Unnamed: 0,id,no_of_libraries,no_of_laboratories,no_of_conference_halls,no_of_health_centers,no_of_computer_centers,sum
37116,37116,156654,1.0,7.0,1.0,0.0,1.0,10.0
37117,37117,159087,1.0,0.0,1.0,0.0,1.0,3.0
37118,37118,166234,1.0,0.0,1.0,0.0,1.0,3.0
37119,37119,182268,1.0,1.0,1.0,1.0,1.0,5.0
37120,37120,192604,1.0,8.0,1.0,1.0,0.0,11.0
37121,37121,164593,1.0,1.0,1.0,1.0,1.0,5.0
37122,37122,156340,1.0,0.0,1.0,0.0,1.0,3.0
37123,37123,167480,1.0,1.0,1.0,1.0,1.0,5.0
37124,37124,178916,1.0,1.0,0.0,1.0,1.0,4.0
37125,37125,166621,1.0,6.0,0.0,0.0,2.0,9.0
37126,37126,161830,1.0,1.0,1.0,1.0,1.0,5.0
37127,37127,193321,1.0,1.0,1.0,1.0,1.0,5.0
37128,37128,167128,1.0,1.0,1.0,1.0,1.0,5.0
37129,37129,186475,1.0,1.0,9.0,2.0,1.0,14.0
37130,37130,166242,1.0,1.0,1.0,1.0,1.0,5.0
37131,37131,202900,1.0,0.0,1.0,1.0,1.0,4.0
37132,37132,162601,1.0,1.0,1.0,0.0,1.0,4.0
37133,37133,172595,1.0,30.0,3.0,0.0,1.0,35.0
37134,37134,175975,1.0,1.0,1.0,1.0,1.0,5.0
37135,37135,178443,1.0,0.0,0.0,0.0,1.0,2.0
37136,37136,181238,1.0,0.0,1.0,1.0,1.0,4.0
37137,37137,163213,1.0,1.0,1.0,0.0,1.0,4.0
37138,37138,178880,1.0,1.0,1.0,0.0,1.0,4.0
37139,37139,173793,0.0,1.0,4.0,1.0,1.0,7.0
37140,37140,174019,1.0,0.0,1.0,0.0,0.0,2.0
37141,37141,154974,1.0,5.0,1.0,1.0,1.0,9.0
37142,37142,177186,1.0,0.0,0.0,0.0,0.0,1.0
37143,37143,189028,1.0,1.0,1.0,1.0,1.0,5.0
37144,37144,168010,0.0,1.0,0.0,0.0,0.0,1.0
37145,37145,168417,1.0,0.0,1.0,0.0,1.0,3.0
37146,37146,208537,1.0,1.0,1.0,0.0,1.0,4.0
37147,37147,169817,1.0,1.0,1.0,0.0,1.0,4.0
37148,37148,181675,1.0,1.0,1.0,1.0,1.0,5.0
37149,37149,204134,1.0,3.0,1.0,0.0,1.0,6.0
37150,37150,208860,0.0,0.0,0.0,0.0,0.0,0.0
37151,37151,177345,1.0,0.0,0.0,0.0,0.0,1.0
37152,37152,187874,1.0,0.0,1.0,0.0,1.0,3.0
37153,37153,198252,1.0,1.0,0.0,0.0,0.0,2.0
37154,37154,202488,1.0,1.0,1.0,0.0,1.0,4.0
37155,37155,189388,1.0,41.0,3.0,1.0,1.0,47.0
37156,37156,201800,1.0,1.0,1.0,1.0,1.0,5.0
37157,37157,188657,1.0,3.0,1.0,0.0,1.0,6.0
37158,37158,193346,1.0,1.0,1.0,0.0,1.0,4.0
37159,37159,204498,1.0,1.0,1.0,0.0,1.0,4.0
37160,37160,177537,1.0,1.0,1.0,1.0,1.0,5.0
37161,37161,163550,1.0,9.0,1.0,0.0,1.0,12.0
37162,37162,206354,1.0,3.0,1.0,1.0,1.0,7.0
37163,37163,172775,1.0,0.0,1.0,1.0,1.0,4.0
37164,37164,185518,1.0,1.0,1.0,1.0,1.0,5.0
37165,37165,173646,1.0,1.0,0.0,1.0,1.0,4.0
37166,37166,173889,1.0,7.0,1.0,0.0,1.0,10.0
